ID	source	start	end
bpt6k13307768	gallica	1	4
bpt6k1330777p	gallica	1	4
bpt6k13307783	gallica	1	4
bpt6k1330779h	gallica	1	4
bpt6k13307805	gallica	1	4
bpt6k1330781k	gallica	1	4
bpt6k13307820	gallica	1	4
bpt6k1330783d	gallica	1	4
bpt6k1330784t	gallica	1	4
bpt6k13307857	gallica	1	4
bpt6k1330786n	gallica	1	4
bpt6k13307872	gallica	1	4
bpt6k1330788g	gallica	1	4
bpt6k1330789w	gallica	1	4
bpt6k1330790j	gallica	1	4
bpt6k1330791z	gallica	1	4
bpt6k1330792c	gallica	1	4
bpt6k1330793s	gallica	1	4
bpt6k13307946	gallica	1	4
bpt6k1330795m	gallica	1	4
bpt6k13307961	gallica	1	4
bpt6k1330797f	gallica	1	4
bpt6k1330798v	gallica	1	4
bpt6k13307998	gallica	1	4
bpt6k1330800g	gallica	1	4
bpt6k1330801w	gallica	1	4
bpt6k13308029	gallica	1	4
bpt6k1330803q	gallica	1	4
bpt6k13308044	gallica	1	4
bpt6k1330805j	gallica	1	4
bpt6k1330806z	gallica	1	4
bpt6k1330807c	gallica	1	4
bpt6k1330808s	gallica	1	4
bpt6k13308096	gallica	1	4
bpt6k1330810v	gallica	1	4
bpt6k13308118	gallica	1	4
bpt6k1330812p	gallica	1	4
bpt6k13308133	gallica	1	4
bpt6k1330814h	gallica	1	4
bpt6k1330815x	gallica	1	4
bpt6k1330816b	gallica	1	4
bpt6k1330817r	gallica	1	4
bpt6k13308185	gallica	1	4
bpt6k1330819k	gallica	1	4
bpt6k13308207	gallica	1	4
bpt6k1330821n	gallica	1	4
bpt6k13308222	gallica	1	4
bpt6k1330823g	gallica	1	4
bpt6k1330824w	gallica	1	4
bpt6k13308259	gallica	1	4
bpt6k13489277	gallica	1	4
bpt6k13308274	gallica	1	4
bpt6k1330828j	gallica	1	4
bpt6k13309744	gallica	1	4
bpt6k1330975j	gallica	1	4
bpt6k1330976z	gallica	1	4
bpt6k1330977c	gallica	1	4
bpt6k1330978s	gallica	1	4
bpt6k13309796	gallica	1	4
bpt6k1330980v	gallica	1	4
bpt6k13309818	gallica	1	4
bpt6k1330982p	gallica	1	4
bpt6k13309833	gallica	1	4
bpt6k1330984h	gallica	1	4
bpt6k1330985x	gallica	1	4
bpt6k1330986b	gallica	1	4
bpt6k1330987r	gallica	1	4
bpt6k13309885	gallica	1	4
bpt6k1330989k	gallica	1	4
bpt6k13309907	gallica	1	4
bpt6k1330991n	gallica	1	4
bpt6k13309922	gallica	1	4
bpt6k1330993g	gallica	1	4
bpt6k1330994w	gallica	1	4
bpt6k13309959	gallica	1	4
bpt6k1330996q	gallica	1	4
bpt6k13309974	gallica	1	4
bpt6k1330998j	gallica	1	4
bpt6k1330999z	gallica	1	4
bpt6k13310001	gallica	1	4
bpt6k1331001f	gallica	1	4
bpt6k1331002v	gallica	1	4
bpt6k13310038	gallica	1	4
bpt6k1331004p	gallica	1	4
bpt6k13310053	gallica	1	4
bpt6k1331006h	gallica	1	4
bpt6k1331007x	gallica	1	4
bpt6k1331008b	gallica	1	4
bpt6k1331009r	gallica	1	4
bpt6k1331010d	gallica	1	4
bpt6k1331011t	gallica	1	4
bpt6k13310127	gallica	1	4
bpt6k1331013n	gallica	1	4
bpt6k1330829z	gallica	1	4
bpt6k1330830m	gallica	1	4
bpt6k13308311	gallica	1	4
bpt6k1330832f	gallica	1	4
bpt6k1330833v	gallica	1	4
bpt6k13308348	gallica	1	4
bpt6k1330835p	gallica	1	4
bpt6k13308363	gallica	1	4
bpt6k1330837h	gallica	1	4
bpt6k1330838x	gallica	1	4
bpt6k1330839b	gallica	1	4
bpt6k13308400	gallica	1	4
bpt6k1330841d	gallica	1	4
bpt6k1330842t	gallica	1	4
bpt6k13308437	gallica	1	4
bpt6k1330844n	gallica	1	4
bpt6k13308452	gallica	1	4
bpt6k1330846g	gallica	1	4
bpt6k1330847w	gallica	1	4
bpt6k13308489	gallica	1	4
bpt6k1330849q	gallica	1	4
bpt6k1330850c	gallica	1	4
bpt6k1330851s	gallica	1	4
bpt6k13308526	gallica	1	4
bpt6k1330853m	gallica	1	4
bpt6k13308541	gallica	1	4
bpt6k1330855f	gallica	1	4
bpt6k1330856v	gallica	1	4
bpt6k13308578	gallica	1	4
bpt6k1330858p	gallica	1	4
bpt6k13308593	gallica	1	4
bpt6k1330860r	gallica	1	4
bpt6k13308615	gallica	1	4
bpt6k1330862k	gallica	1	4
bpt6k13308630	gallica	1	4
bpt6k1330864d	gallica	1	4
bpt6k1330865t	gallica	1	4
bpt6k13308667	gallica	1	4
bpt6k1330867n	gallica	1	4
bpt6k13308682	gallica	1	4
bpt6k1330869g	gallica	1	4
bpt6k13308704	gallica	1	4
bpt6k1330871j	gallica	1	4
bpt6k1330872z	gallica	1	4
bpt6k1330873c	gallica	1	4
bpt6k1330874s	gallica	1	4
bpt6k13308756	gallica	1	4
bpt6k1330876m	gallica	1	4
bpt6k13308771	gallica	1	4
bpt6k1330878f	gallica	1	4
bpt6k1330879v	gallica	1	4
bpt6k1330880h	gallica	1	4
bpt6k1330881x	gallica	1	4
bpt6k1330882b	gallica	1	4
bpt6k1330883r	gallica	1	4
bpt6k13308845	gallica	1	4
bpt6k1330885k	gallica	1	4
bpt6k13308860	gallica	1	4
bpt6k1330887d	gallica	1	4
bpt6k1330888t	gallica	1	4
bpt6k13308897	gallica	1	4
bpt6k1330890w	gallica	1	4
bpt6k13308919	gallica	1	4
bpt6k1330892q	gallica	1	4
bpt6k13308934	gallica	1	4
bpt6k1330894j	gallica	1	4
bpt6k1330895z	gallica	1	4
bpt6k1330896c	gallica	1	4
bpt6k1330897s	gallica	1	4
bpt6k13308986	gallica	1	4
bpt6k1330899m	gallica	1	4
bpt6k1330900t	gallica	1	4
bpt6k13309017	gallica	1	4
bpt6k1330902n	gallica	1	4
bpt6k13309032	gallica	1	4
bpt6k1330904g	gallica	1	4
bpt6k1330905w	gallica	1	4
bpt6k13309069	gallica	1	4
bpt6k1330907q	gallica	1	4
bpt6k13309084	gallica	1	4
bpt6k1330909j	gallica	1	4
bpt6k13309106	gallica	1	4
bpt6k1330911m	gallica	1	4
bpt6k13309121	gallica	1	4
bpt6k1330913f	gallica	1	4
bpt6k1330914v	gallica	1	4
bpt6k13309158	gallica	1	4
bpt6k1330916p	gallica	1	4
bpt6k13309173	gallica	1	4
bpt6k1330918h	gallica	1	4
bpt6k1330919x	gallica	1	4
bpt6k1330920k	gallica	1	4
bpt6k13309210	gallica	1	4
bpt6k1330922d	gallica	1	4
bpt6k1330923t	gallica	1	4
bpt6k13309247	gallica	1	4
bpt6k1330925n	gallica	1	4
bpt6k13309262	gallica	1	4
bpt6k1330927g	gallica	1	4
bpt6k1330928w	gallica	1	4
bpt6k13309299	gallica	1	4
bpt6k1330930z	gallica	1	4
bpt6k1330931c	gallica	1	4
bpt6k1330932s	gallica	1	4
bpt6k13309336	gallica	1	4
bpt6k1330934m	gallica	1	4
bpt6k13309351	gallica	1	4
bpt6k1330936f	gallica	1	4
bpt6k1330937v	gallica	1	4
bpt6k13309388	gallica	1	4
bpt6k1330939p	gallica	1	4
bpt6k1330940b	gallica	1	4
bpt6k1330941r	gallica	1	4
bpt6k13309425	gallica	1	4
bpt6k1330943k	gallica	1	4
bpt6k13309440	gallica	1	4
bpt6k1330945d	gallica	1	4
bpt6k1330946t	gallica	1	4
bpt6k13309477	gallica	1	4
bpt6k1330948n	gallica	1	4
bpt6k13309492	gallica	1	4
bpt6k1330950q	gallica	1	4
bpt6k13309514	gallica	1	4
bpt6k1330952j	gallica	1	4
bpt6k1330953z	gallica	1	4
bpt6k1330954c	gallica	1	4
bpt6k1330955s	gallica	1	4
bpt6k13309566	gallica	1	4
bpt6k1330957m	gallica	1	4
bpt6k13309581	gallica	1	4
bpt6k1330959f	gallica	1	4
bpt6k13309603	gallica	1	4
bpt6k1330961h	gallica	1	4
bpt6k1330962x	gallica	1	4
bpt6k1330963b	gallica	1	4
bpt6k1330964r	gallica	1	4
bpt6k13309655	gallica	1	4
bpt6k1330966k	gallica	1	4
bpt6k13309670	gallica	1	4
bpt6k1330968d	gallica	1	4
bpt6k1330969t	gallica	1	4
bpt6k1330970g	gallica	1	4
bpt6k1330971w	gallica	1	4
bpt6k13309729	gallica	1	4
bpt6k1330973q	gallica	1	4
