"Person H-ID",Nom
40,"Dominique Carlotti|Martinu Appinzapalu|Dumenicu Carlotti|Abbé Carlotti|Don Domenico Carlotti"
41,"Bertino Poli"
42,"Francesco Guerri"
43,"Marcu Angeli|Marco Angeli"
44,Vespa
45,"Angiolo Moretti"
46,"Alfredo Grilli"
47,"Mario Morgana"
48,"Pio Pecchiai"
49,"Stefano Mazzilli"
50,"Giuseppe Micheli"
51,"Zeta|Prete Zeta"
52,"Marcello Alessandri di Chidazzo, M. Alessandri di Chidazzu"
53,"Alessio Bolgiani"
54,"A. F. Filippini|Anton-Francesco Filippini"
55,"Antone Marcelli|Antonio Marcelli"
56,"Luigi Olivieri"
57,"S. B. Casanova|Abbé Sylvestre-Bonaventure Casanova"
58,"Luigi Paoli"
59,"Sandro Foresi"
60,"Padre Francesco Maria Paolini"
61,"B. Chiararelli"
62,"Petru Giovacchini"
63,"Inconnu|Non spécifié"
64,"Antunarellu di Vicu"
65,"U topu Pinnutu"
66,"Oscar de Leone"
67,"Rina Pellegri"
68,"Ugo Bernardini Marzolla"
69,"Filippo Fichera"
70,"Gino Bottiglioni"
71,"Ventura|Francescu Ventura"
72,"Aldo Guerrieri"
73,"U ciocciu pugghiesu"
74,"P. Vinassa de Regny"
75,"p. a. c."
76,"M. T. Locatelli"
77,"Orsini d'Ampugnani|Lucien Orsini"
78,"D. Spadoni|Domenico Spadoni"
79,"O. F. Tencajoli|Oreste Ferdinando Tencajoli"
80,"Giuseppe Cipparone"
81,"Pietro Giovani Lucani"
82,"G. Pellé"
83,"Arturo Bini"
84,"C. C. Massei"
85,"Padre Tommaso Alfonsi|Thomas Marie Alfonsi|U Babbuziu|Il Babbozio"
86,"Giuseppe Multedo"
87,"Santu Casanova"
88,"Eugène Grimaldi|Ageniu Grimaldi"
352,Kyrn
353,"Laurent Malandri"
354,"Maistrale|Dominique Antoine Versini"
356,"Mario Roselli Cecconi"
359,"Matteu Rocca|Michele Corano|U Boia|Jean-Mathieu Rocca|U Pittore|Matteo Rocca"
361,"Matteu Cirnensi|Jean-François Mattei-Torre|Mattei Torre"
370,"Paulu Orsoni"
371,PCA
374,"Petru Rocca|P. di B.|P. di C.|Pasquale Manfredi|Pierre-Marie-Gabriel Rocca"
375,"Pierre Bonardi"
376,"Pierre Dominique|Pierre-Dominique Lucchini"
377,"Tonio Laicino"
380,"U Nafantatu"
382,Direction|Rédaction
383,"F. C."
385,"Jacques Fieschi"
386,"Jean Olivieri"
392,"Antone Bonifacio"
397,"Simonu d'Aullè|Simon Dary"
404,"Ghiuvan’Paulu Codaccioni|Jean-Paul Codaccioni"
408,"Peppu Flori|Jean-Joseph Flori"
410,"Carulu Giovoni|Charles Giovoni"
412,"Ghiuvanni di a Grotta|Simon-Jean Vinciguerra"
415,"Petru Leca|Pierre-Toussaint Leca"
417,"Ghiuvan’Petru Lucciardi|Jean-Pierre Lucciardi"
421,"Dumenicu Marfisi"
424,"Minicale|Dominique Andreotti|Paulu di Minicale"
426,"Ghianettu Notini|U Sampetracciu"
428,"Paoli di Taglio|Anton-Battista Paoli"
430,"Pincu|Antoine-Marc Peretti|Polverinu|Bisinu"
432,"Natale Rocchiccioli"
434,"Simone di San Jorghiu|Simon-Paul Poli"
437,"Antoniu Trojani"
439,"Anton-Filippu Tristani|Antoine Philippe Tristani"
565,"L. Sardou"
808,"Paul Arrighi|Paul de Renno"
814,"René Emmanuelli|U Balaninu|Il Balanino"
