"Organisation H-ID","Full name of organisation"
1190,"Il Parroco"
1232,Bastia-Journal
1233,"La Jeune Corse"
1310,"War-Zao, giurnale brettone"
1311,"L'Eveil de la Corse"
1314,"La Nouvelle Corse"
1338,"L'Emancipation de la Corse"
1340,"L'Echo de la Corse"
1367,L'Essitac
1428,L'Oeuvre
1450,"Breis Digabestr"
1465,"Le Pascal Paoli"
1571,Marseille-Matin
1572,"L'araire, Organe de la Jeunesse Occitane"
1573,"Les Pays Vosgiens"
1590,"La Lumière"
1633,"L'Ami du Peuple"
1634,"L'Action Régionaliste"
1674,"L'Action française"
1675,"Le Figaro"
1676,"Le Petit Journal"
1702,"An Oaled (Le Foyer Breton)"
1896,"L'Ile de Beauté"
1941,"La Corse Economique"
2061,Floreal
2082,"La Corse Socialiste"
2095,"La Gazette du Lundi"
2096,"Breiz Dishual"
2202,"La Corse Libre"
2295,Corsica
2337,L'Ile
2404,"La République des Camarades"
2412,"La Lanterne Ajaccienne"
2467,Cyrnos-Journal
2514,"Sport et jeunesse"
2540,"La Sampogna"
2542,"Les Patries de France"
2566,"Le Courrier de la Corse"
2602,"A Tramuntana"
2636,"A Ratacchia"
2638,"Corsica Antica e Moderna"
2682,"Breiz Atao"
2762,"L'Echo du Commerce"
2788,"Le Petit Marseillais"
2857,"Archivio Storico di Corsica"
2880,"L'Essor de la Corse"
2906,"Le Petit Bastiais"
2985,"La Dépêche de la Corse"
3061,"Le Matin"
3079,"Agence Diplomatique"
3177,"Il Telegrafo"
3239,"Journal de la Corse"
3331,"La Corse Catholique"
3428,Ajaccio-Journal
3450,"La Côte d'Emeraude"
3469,"Le Canard Enchaîné"
3554,"La Corse Radicale"
3609,"L'Avvenire d'Italia"
3661,"La Giraglia"
3736,"Peuples et Frontières"
3764,"Voix des Peuples"
3777,"Almanaccu di A Muvra"
3864,"Tribune des Fonctionnaires"
3900,"La Gazette de la Corse"
3957,"La Voix Corse et radicale"
3988,"S.O.S Corse"
4146,"Il Travaso delle Idee"
4147,"A Fiamma"
4186,"La Libre opinion"
4203,"L'homme libre"
4204,"Il Giornale d'Italia"
4220,"La Volontà d'Italia"
4239,"Le Défi"
4273,"La France Enchainée"
4287,"Bulletin d'information espagnol"
4299,"Le Fédéraliste"
4323,Ar-Falz
4378,"La Province"
4406,"Petit Bleu"
4833,"Avanti !"
4846,"La France Active"
4908,Paris-Soir
4955,"L'Avenir du Plateau Central"
4956,"Il corriere della sera"
4966,"L'éclaireur de Nice"
4980,"Il Tevere"
5053,"Le Jour"
5062,Péril-Provence
