"Numéro H-ID",Numéro,Date,"Revue H-ID","Revue RecordTitle"
28,A5N5-6,1936,26,"Corsica antica e moderna"
29,A4N1-2,1935,26,"Corsica antica e moderna"
30,A4N4-5,1935,26,"Corsica antica e moderna"
31,A4N6,1935,26,"Corsica antica e moderna"
32,A6N4,1937,26,"Corsica antica e moderna"
33,A6N1-2,1937,26,"Corsica antica e moderna"
34,A6N5-6,1937,26,"Corsica antica e moderna"
35,A5N1-2,1936,26,"Corsica antica e moderna"
36,A5N3,1936,26,"Corsica antica e moderna"
37,A5N4,1936,26,"Corsica antica e moderna"
38,A6N3,1937,26,"Corsica antica e moderna"
39,A4N3,1935,26,"Corsica antica e moderna"
641,15/11/1920,1920,444,"A Muvra"
642,01/12/1920,1920,444,"A Muvra"
643,15/12/1920,1920,444,"A Muvra"
828,A7N1-2-3,1938,26,"Corsica antica e moderna"
858,A7N4-5,1938,26,"Corsica antica e moderna"
877,A7N6,1938,26,"Corsica antica e moderna"
888,A8N1-2,1939,26,"Corsica antica e moderna"
902,A8N3-4,1939,26,"Corsica antica e moderna"
919,A8N5-6,1939,26,"Corsica antica e moderna"
931,A3N1,1934,26,"Corsica antica e moderna"
943,A3N2-3,1934,26,"Corsica antica e moderna"
963,A3N4,1934,26,"Corsica antica e moderna"
979,A3N5,1934,26,"Corsica antica e moderna"
990,A3N6,1934,26,"Corsica antica e moderna"
1003,A2N1,1933,26,"Corsica antica e moderna"
1018,A2N2,1933,26,"Corsica antica e moderna"
1033,A2N3,1933,26,"Corsica antica e moderna"
1045,A2N4,1933,26,"Corsica antica e moderna"
1059,A2N5,1933,26,"Corsica antica e moderna"
1077,A2N6,1933,26,"Corsica antica e moderna"
1091,A1N1,1932,26,"Corsica antica e moderna"
1111,A1N2,1932,26,"Corsica antica e moderna"
1134,A1N3,1932,26,"Corsica antica e moderna"
1150,A1N4,1932,26,"Corsica antica e moderna"
1168,A1N5,1932,26,"Corsica antica e moderna"
1183,A1N6,1932,26,"Corsica antica e moderna"
1203,"3-10/01/1932 - Annu XIII - Numaru 462",1932,444,"A Muvra"
1216,"17/01/1932 - Annu XIII - Numaru 463",1932,444,"A Muvra"
1236,"24/01/1932 - Annu XIII - Numaru 464",1932,444,"A Muvra"
1250,"31/01/1932 - Annu XIII - Numaru 465",1932,444,"A Muvra"
1262,"10/02/1932 - Annu XIII - Numaru 466",1932,444,"A Muvra"
1274,"20/02/1932 - Annu XIII - Numaru 467",1932,444,"A Muvra"
1287,"01/03/1932 - Annu XIII - Numaru 468",1932,444,"A Muvra"
1301,"10/03/1932 - Annu XIII - Numaru 469",1932,444,"A Muvra"
1316,"01/04/1932 - Annu XIII - Numaro 471",1932,444,"A Muvra"
1333,"10/04/1932 - Annu XIII - Numaru 472",1932,444,"A Muvra"
1346,"20/04/1932 - Annu XIII - Numaru 473",1932,444,"A Muvra"
1370,"25/10/1932 - Annu XIII - Numaru 474",1932,444,"A Muvra"
1389,"10/11/1932 - Annu XIII - Numaru 475",1932,444,"A Muvra"
1407,"20/11/1932 - Annu XIII - Numaro 476",1932,444,"A Muvra"
1431,"01-10/12/1932 - Annu XIII - Numaru 477",1932,444,"A Muvra"
1452,"20/12/1932 - Annu XIII - Numaru 478",1932,444,"A Muvra"
1468,"01/01/1933 - Annu XIV - Numaro 479",1933,444,"A Muvra"
1484,"10-20/01/1933 - Annu XIV - Numaru 480",1933,444,"A Muvra"
1501,"01/02/1933 - Annu XIV - Numaru 481",1933,444,"A Muvra"
1514,"10/02/1933 - Annu XIV - Numaru 482",1933,444,"A Muvra"
1529,"20/02/1933 - Annu XIV - Numaru 483",1933,444,"A Muvra"
1543,"01/03/1933 - Annu XIV - Numaru 484",1933,444,"A Muvra"
1561,"10/03/1933 - Annu XIV - Numaru 485",1933,444,"A Muvra"
1575,"20/03/1933 - Annu XIV - Numaru 486",1933,444,"A Muvra"
1593,"01/04/1933 - Annu XIV - Numaru 487",1933,444,"A Muvra"
1607,"10/04/1933 - Annu XIV - Numaru 488",1933,444,"A Muvra"
1623,"20/04/1933 - Annu XIV - Numaru 489",1933,444,"A Muvra"
1637,"01-10/05/1933 - Annu XIV - Numaru 490",1933,444,"A Muvra"
1653,"20/05/1933 - Annu XIV - Numaru 491",1933,444,"A Muvra"
1664,"01/06/1933 - Annu XIV - Numaru 492",1933,444,"A Muvra"
1678,"10/06/1933 - Annu XIV - Numaru 493",1933,444,"A Muvra"
1693,"20/06/1933 - Annu XIV - Numaru 494",1933,444,"A Muvra"
1708,"01/07/1933 - Annu XIV - Numaru 495",1933,444,"A Muvra"
1722,"15/07/1933 - Annu XIV - Numaru 496",1933,444,"A Muvra"
1731,"01/08/1933 - Annu XIV - Numaru 497",1933,444,"A Muvra"
1744,"15/08/1933 - Annu XIV - Numaru 498",1933,444,"A Muvra"
1760,"01/09/1933 - Annu XIV - Numaru 499",1933,444,"A Muvra"
1775,"15/09/1933 - Annu XIV - Numaru 500",1933,444,"A Muvra"
1791,"01/10/1933 - Annu XIV - Numaru 501",1933,444,"A Muvra"
1803,"10/10/1933 - Annu XIV - Numaru 502",1933,444,"A Muvra"
1820,"20/10/1933 - Annu XIV - Numaru 503",1933,444,"A Muvra"
1832,"01/11/1933 - Annu XIV - Numaru 504",1933,444,"A Muvra"
1843,"10-20/11/1933 - Annu XIV - Numaru 505",1933,444,"A Muvra"
1858,"01/12/1933 - Annu XIV - Numaru 506",1933,444,"A Muvra"
1877,"10/12/1933 - Annu XIV - Numaru 507",1933,444,"A Muvra"
1885,"20/12/1933 - Annu XIV - Numaru 508",1933,444,"A Muvra"
1903,"10/01/1934 - Annu XV - Numaru 510",1934,444,"A Muvra"
1922,"01/02/1934 - Annu XV - Numaru 512",1934,444,"A Muvra"
1935,"10/02/1934 - Annu XV - Numaru 513",1934,444,"A Muvra"
1951,"20/02/1934 - Annu XV - Numaru 514",1934,444,"A Muvra"
1967,"01/03/1934 - Annu XV - Numaru 515",1934,444,"A Muvra"
1980,"10-20/03/1934 - Annu XV - Numaru 516",1934,444,"A Muvra"
1997,"01/04/1934 - Annu XV - Numaru 517",1934,444,"A Muvra"
2010,"10/04/1934 - Annu XV - Numaru 518",1934,444,"A Muvra"
2028,"20/04/1934 - 20/05/1934 - Annu XV - Numaru 519",1934,444,"A Muvra"
2052,"01/06/1934 - Annu XV - Numaru 520",1934,444,"A Muvra"
2073,"10/06/1934 - Annu XV - Numaru 521",1934,444,"A Muvra"
2090,"20/06/1934 - Annu XV - Numaru 522",1934,444,"A Muvra"
2104,"01-10/07/1934 - Annu XV - Numaru 523",1934,444,"A Muvra"
