,Unnamed: 0.1,Unnamed: 0,Titre,Auteur,Type,Langue,Texte
0,0,0,A Conquista di l'Autonomia,Petru Rocca,article,cos,prova fatta autonomia cundizione risurgimentu corsu intrapesa ca majo parchi agisce nienti altru ca ottene ritiru sistei amministrativu legislativu francese anda 1mpitta ostaculi idea corsa scuntrara sintimenti altre idee interessi nimici principali patriuttisimu artificiale francese falsa cuniscenza dia corsica interessi individuali scanurza realisazione l autono isulana contr statu francese pulitica unificatrice sintimentu francese arradicatu cirnu suggestione apparenze mutatusi patriuttisimu francese pa mezzu dia stampa pulpitru nepuru appoghiu ca ingannu ignuranza curiscenza corsica face anda fume falsu cuncepimentu vistu attraversu cannucchiale parigginu sicondu scrivani cuntinentali rapresentanu vecchiu rughione gallia patrie qual trova sbugiardatu fatti monarchia assoluta rivuluzione imperu statu francese pulitica unificazione assorbimentu elementi eterogenei risistenza attiva elementi essendu compia d 1789 diversi guverni ebbenu ca mette asta piso amministrazione centralizzata aggregazione populi diversi pudissi realizza capisce statu bo glia amore cambia andatu puliticu capisce dino obligatu inchinassi vulinta dun populu bisogna fori assoluta cundizione vittoria tocca distrughie corsca patriuttisimu impurtazione preghiudizj individualisimi scopu d jornu travaglia ren fratelli veru sin1 unul rate raggiunamentu furzaremu atutti isulani cuscenza ciochi devenu brusgia ciochi devenu difende travagliaremu sviluppa sintimentu ghie soiu falli vede piricusibilita avene quandi intrapesa lavaciarbelli avanzata opara compia avaremu noscu x ae ristara organizzalla utilizzalla pudaremu ca innalzendu ciochi manca propria posta rutame amca custruisce edifiziu economicu intellettuale dd uv za legale autonomia tal limpida tal spiega accessi freguenti sintimentu naziunale cirneanu cunsiguenza vitalita cuscenza aspettu frustere cose francia curiosita disgustu re sintimenti corollariu scuru trasaltu ruina antica fierezza altru latu azione miccaun stranu storia nazione cuntinua serie muvimenti risurgimentu cumen cianu liberazione greca finisce irlanda vegliu naziunalita ciochi ell muvimentu autonomista populu nduvina logica fatti zione cirnese versu ricuperazione liberta tr idee ostaculi possinu franca ognunu vene cresce squatre marchianu fiancu
1,1,1,L'ITALIA DIALETTALE,Dumenicu Carlotti,article,cos,eminente maestru glottologia clemente merlo sapiente rinumatu prufessore universita pisa cuminciatu publicazione dotta rivista italia dialettale publicazione studiosi auropa america interessanu origi cuntinuendu lavori luminosi ascoli salvioni clemente merlo infatigabile indi ricerca minuziosa parlati neolatini sfronda vinti dopu ave snudatu anelli immensa catena linguistica risultatu investigazione luce lampa intrecciu dialettale abbraccia penisula isule circunvicine lascia indifferenti nu qualchi fierezza linguaggiu parlemu scrivimu volenu travaglia rifiurenza alingua nustrale devenu cunsulta rivista chiude l arecchie voce autori zate alzanu altra sponda merlo indi primu articulu scumpartisce dialettiin quattru cantere dialetti neolatini micca particulari italia b dialetti distinti talianu sistema speziale italia c dialetti alluntanati tipu italo tuscauu sistema particulare d tuscanu linguaggiu litterariu italianu primu gruppu iscrivenu dialetti franco provenzali provenzali ladini vegliatto secondu dialetti gallo italichi spartiti ascoli liguru piemunticu lumbardu emilianu dialetti sardi uterzu dialetti sicilia pruvincie napulitane umbria marchie dia pruvincia roma dialetti accolta gran suddisfazione dialetti figlioli roma corsi italiani centro meridionale venezianu corsu quartu dialetti tuscani divisi parodi quattru branche fiorintina pisa lucca pistoia senese aretina esaminendu simplice colpu occhiu quistione dii dialetti sardi maestru spone punti ario ritiene concordemente sardo spetti sistema lingue romanze questione parlate settentrionali sassarese genere galluresi unire centrali meridionaali logoduresi campidanesi corse corso altremontano naturale abitatori sponde opposte separate breve tratto mare contatti frequenti eta antica romana pre romana invasioni senso sovrapposizioni sarano mancate ecoricamente gallurese sardo contaminato corso corso contaminato sardo dica cor oltremontano area gallurese corsa oltrantontana anguste circoscritte estrema rispettivamente meridionale settentrionale isole bocche bonifacio trovorono fronte unita etniche linguistiche profondamente tipo sardo altra tipo italiano o1 italianita corso cismontano indigena etnica acquisita importata rispota punti interrugazione subitu subitu truvemu presenza doppia custatazione gallure oltremuntanu pumunticu formanu solu ramu cismuntanu fiuritu tuscanita pura riccu succhiu oltremuntanu forma cacciata originale merita studiata ceppu cumunu scupartu radiconi l ap porti saranu schiariti permessu crede parlata specchiu razza valurosa ideatrice pianta nustrale ringraziemu sinceramentu eruditu linguistu onore yitalia pone vista sapienti mondu intieru prublema corsu insegnacci crocivie v italia dialettale
2,2,2,Lezione in trenu,A. F. TRISTANI,conte,cos,trenu ratachia tempu annata sicinosa vigne seche arrustite pane quaranta solli chilo ladru fressineghiu percettore deputati strade appicca cane miseria causa8 scornu spechietti cavallu nasu ziu carlone leghie giornale cie nunda novu ziu nanti giornale dumando giovanottu andava bastia battellu lagna cie quelcosa leghie nanti giornali bo bulite bede umbe gattivu curniame scrittu corsu caspita qual leghie sagranchia buh abbisa tamanti punti dev pagina ceghi puntoni bolenu p c pr queessa diceraghiu spalate p postu armata lupa schiattata guerra soga k 7 schiattata porebbi accade casi saperemu sentimu pocu quandu contate dichiaralla guerra bi possu intantu appinzanu sciabbule arrotanu feri provanu muschetti imburanu cherchere empienu caserme sullati marocani aspettate seranu maroc cumandamentu cani corsi micca marocani dece seranu digia 111gagiati maghiu passatu jorni jugne scagnu fassi scrive volontarii tenite mente nimigu buscu signor trovu trovu boi cuniscite cum ragiunatu pocu amici b accordu sullati qual sentera capace cumandalli cridite micca bi basti capurale seranu capurali culinelli porebbe sape qualu ie cuniscite inno nu conoscu micca intesu parla
3,3,3,A Fetta,U Babbuziu,poesie,cos,piemimorie eta innucente viva cara ebinadetta turna prisente custume dumesticu fetta mane capudannu temp ghiornu famiglia dopu ave prigatu ghiegia strignia alegra intornu babbu ugnunu aguratu pace salute ugnuru segnu croce adagiu adagiu babbu affitava pane 2 dava fetta scrucchiava n bagio paria EUR mani diu purghissi fetta desse fruttu 3 prumessa lannu ghiuntu nimu nun fia maraviglia aissimu fetta rivarenza simbulu sacru famiglia simbulu santa pruvvidenza luntanu ugnun vulia soia casinno frumbulava prutesta babbu mandalla gioia ricevela festa arricordu incheetu affannu quandi studiu pigna zitellu tardava mane capudannu arricammi fetta moratellu m arricordu divuzione sgranava gioia visu dinticchiulendu adagiu ugni vuccone pan paradisu saria dettu ingullia inseme fetta caldu nutrimentu spirtu famiglia vinia tennaru forte sintimentu fruttu diu cunsirbatu sane cuscienza fede cuntenti guai credu riliggione pane grazia diu mancatu augurio rituale capodanno 2 schiacciata cugiola forma rotonda confezionate fior farine cacio fresco zuechero cotta forno costumanza fetta somigliante esiste paesi sardegna compie ll ritto capodanno epifania schiacciate sarda chiamata gujata rotonda anchi essa ricoperta semi raffiguranti grano augurio abbondanza affettaria capo famiglia mette ja preme aul capo figliuolo maggiore divide parti eguali presenti 3 conun sentimento squisito religione edi gratitudine provvidenza calenzana moneale paesi pane chiamato fruttu diu
4,4,4,Una Lettara,Anghiulu Francescu,lettre,cos,auversa 20 jennaghiu 1925 cari fratelli mane nebbie freddu schelda junghie muvretta articulu ziu santu subitu ricordu passighiate fate surgente fresca limpida pivarosa cunversazione uso stille lingua chiaru semplice animatu stampate opare muora pare capacissima intraprende tal vinti scalatu pianure umide zin zale dumandu altra ziu santu lasci scritta proprie manu grammatica vocabulariu corsi manera possimu luntani terra odii tenacci fervidi amori quandu vene voglia scrive corsu veru corsu cianfrese cingnania chilomitri esiste amicu michele bonifaziu intantu telefonu femu discursata corsu damicella dumando quandu ebbemu finitu langue avez monsieur langue maternelle napoleon rispundedn mandatemi almanacu muora scusate scrittura fatta apposta stramba piatta errori fote dicenu marinari capicusini marseglia tanti saluti ziu santu caramente boi
5,5,5,CIVILISATION,Paulu Orsoni,article,fra,seance memorable chambre deputes eloquence rare mordant extraordinaire depute denonce haut tribune saletes canal tetes lieute nomme l humanite france accomplit maroc trame jours pays d and el kim ju merde sincerite peuple pretend trouver l ombilical civilisation d ailleurs pays depute convention franco britannique 8 avril 1904 france abandonne peuple egyptien l imperialiste anglais l angleterre reconnu droit maintenir regimeexistant maroc l espagne n ete consultee france l angleterre voyait octroyer converti chuta melissa dios cours annee 1904 negociations furent engagees l espagne adhere publiquement l accord 1904 s engagea france respecter l integrite l empire cherifien diplomates bar ruse pleine d hypocrisie mauvaise foi firent declaration publiblique disposition secrete termes franc l espagne partageaient terres sultan reclamaient d part souverainete commettait veritable vol egard nation marocaine voleurs s entendirent l espagne pretendit droits historiques valoir part meilleure imperialistes espagnols s appelerent l allemagne ete ecartee partage disposee accueillir plaintes voisins maroc devenait pompiste rapprochait guerre mondiale actes maroc contribue augmenter 1904 l emission d emprunt maroc valut banques scandaleux benefices lumiere veritables raisons occupation marocaine speculations bancaires ehontee cadavres marocains m continue l revienne l occupation maroc ete faite civiliser maroc l interet ouvriers francais ete faite interet banques 1907 france depense maroc 3 milliards 419 millions perdu 12 000 hommes tues morts maladie soldats creve ble marocain grossir revenus capitalistes francais corses t crainte detre dementis pouvons affirmer qu quart m dira ensuite france pacifique genereuse civilise barbares maroc n pacifie ans ef avez exproprie 400 000 hectares ferres compagnie agricole ete creee capitaine quil l armee active repere riches terres s empresse ensuite nom societe mettre main l arrive ala deuxieme periode histoire tragique coma prie marocaine rabat passe action contre indigenes troupes arrivent trombe incendient meules grains s emparent betail ef biens indigenes ef tuent homme trouve race operation rapport conseil d administration indigenes deposent plainte porte 155 signatures discorde etats capital notables pays rappelle t procedes fiers aieux gaulois voyez servent fronces d occupation conter seconde histoire amis soldats communique instructions donnees coloniaux chefs poste colonel ordonnait tirer laboureurs dissidents ensemencenfaux environs postes general collet remis marocains voulez affamer vaincre instructionordonne specifier sexe l age er indiquant nombre dissidents tues blesses inquietez tuer enfants revoulez qu sache etes trop honteux oeuvre civilisation avez doute photographie d adjudant aviateur portant tetes coupees marocains defend c naturel phoproduits civilisation francaise pensions c monopole boches monopole francais posaient disputer laissons parole depute pianiste and el kim organisateur remarquable grand chef gui exerce peuple ricain pouvoir absolu ll agit l isolement silence l regner ordre ef loi securite personnes biens communications assuree l anarchie regne done marechal loyaute d part provocations incessantes presse trot kim declare jacques marilla qu veut paix ia france menaces marechal loyaute faut absolument enrayer l anarchie rif parti reconnait indigenes droit dresser contre colonisateurs nest surement gout mas lieute possede t predilection marquee terre n europeenne n hesiterait minute accompagne fidele acolyte general calmes s installer chic sil faire chinois qu marocain arrive ensuite d and el kim leader l inde tendance marocaine and el kim battu raisouli and el kim representait personnellement tendance peuple represente cest envoye telegramme qu reproche telegramme salue victoire peuple refrain affirme peuples coloniaux droit lutter contre imperialistes francais absolument comprenons l indignation peuple pacifique monde affirmation it croyons inutile etendre davantage sujet depute magistralement expose courage honneur parlement concluons disant simplement celte seance palais bourbon n qu raviver noire souvenir memoire corses tombes pontenovu l independance patrie
6,6,6,UNE ÉDIFIANTE HISTOIRE,Pierre Ignotus,article,fra,m fontaine homme serieux cest acquis qu faudrait bien garder revoquer doute thuriferaires habituels loin s accordent reconnaitre d eminentes qualites pourraient bien classer genie entendre presence d pareil homme vrai bienfait cieux saurions jamais trop remercier divine providence present continue gauche permettra n avis l arbre reconnait fruits mauvais arbre donner mauvais fruits fera jamais excellente plante m fontaine homme serieux administration fout entiere s ressentir porter marque particuliere distingue illustre chef penible constater m fontaine nest homme serieux administration loin detre intelligente serieuse preuve edifier voyageur respectables age condition compartiment station chef train delivrer billets homme coiffe dune casquette employes ja compagnie portiere wagon s'empresse reclamer voyageur somme centimes s execute personnes trouvent compartiment entendent voient bien quise passe minutes trajet voyageur arrive destination quai dela gare reclame billet n jamais recu trouve l'impossiblite pouvoir remettre toutefois bien soin faire constater personnes voyageant quil belt bien paye l inspecteur assiste scene ss empresse d mettre dediant voyageur jours inspecteur convoque gare x individu nommant verser immediatement somme centimes d eviter proces verbal l argent reclame verse jour fini l infortune voyageur n malencontreuse idee coucher doleances registre l jeunes reclamations figurant gare plainte instruite inspecteur entendu oblige quil reconnait coupable payer quitter gare sest passe sauriez jamais l imaginer l inspecteur pouvant nier presence temoins s ingere faire aborder sens temoins invoques m x rapport bien declare j faire semblant tirer poche porte monnaie toutefois verser aucun argent rapport mis incident voyageur l'honorabilite n conteste m montai faire semblant tirer porte monnaie payer qu s agit d miserable somme centimes homme serieux administration serieuse admettre pareille solution inspecteur sest signale trouvaille gin niall doute imagination fertile zele merite bien recompense gratification francs quil vient recevoir janvier insuffisante faut mieux pouvoir payer bons loyaux services demandez m directeur croix legion honneur serai heureux fendre centimes voyageur question fera doute autant acheter inspecteur croix fera l admiration subordonnes dis ici serieux donnerai adresse cas echeant
7,7,7,Cronaca Aiaccina,Falchettu,article,fra,desherites genereuses initiatives faire incessamment revivre ville l oeuvre bienfaisante fourneau economique etablissement ouvrira bientot portes marechal fiorella permettra malheureux d avaler soir venu bonne soupe chaud moyennant modique somme z z faisons voeux ardents charite concis fasse durer pos moyens cible oeuvre haute philanthropie l oeuvre municipalite parait rue sortie lethargie vouloir rat taper temps perdu procede actuellement ques travaux souhaitons voir menes bonne suivis d lon promis s imposent derniers l'achevemeni college parait reel mer l urgence lion veut recommencer tard besogne imper tante t prete d attention besogne salubrite d gene ediles voudront considerer serieux qu merite malpropre ville porter promptementremede voudront decider faire casser ignominie s appellera cour interieure sons aujourdhui gre locataires basse cours auges cochons fosses vidange masques d allant fetes carnaval annee multitude masques apparition dimanche dernier vie ville persistance beau temps arriver derider citoyennes rompant resolument prejuges scannes deguisent mieux mieux compte grace qu apportent ebats ici julot furtifs confere masque jeunes essaye egayer tai ee intriguent lea culot petits vieux bien propres el allez mesdemoiselles riez blanches quenottes cruelles hivernales vie sautez dansez rire bien cest carnaval etes mieux ralph ajaccio ch c vif plaisir apprenons venue prochaine celebre professeur gagne time hypnotisee spiritisme ralph nest inconnu ajacciens ralph l ignore aujourd maitre inconteste sciences telepathique spirite renommee cesse grandissante defraye chroniques monde savants ralph predit l an passe choses triomphe m francois cote elections senat toiles revient dune tour nee conferences cote d azur souhaitons cordiale bienvenue
8,8,8,Fable expresse,P. Borghetti,conte,fra,cours dun recent bapteme monument entendit voix morts degout supreme er dieu morts faits rient
9,9,9,UNA FOLA PE A MUVRA,C.,article,cos,quandi letizia riusci brivettu superiore ajacciu vinti ghiuventu lucia occhj belli stelle ridia bocca apria fresca rosa cantava cuore puru aqua funtana vinti capillera oru taglia fina sgualtra paria spiga riusci esamine felicitata ava disse zia to pane manu parente qualchi putere pulitica numina stitutrice nordu francia ghiunse jornu partenza tizia cuore meru tristezza amara lagrime abbughiavanu l occhj pienghie mica supplicavanu parenti parti alegra bai pa to avenire battellu strido bisogne prununcio letizia l occhj guasi chiusi denti strinti laca fughie signozzi basgio lestra lestra vecchia mamma assuffucava anchi pientu surelle parente amici sole tramuntava ultimi raggi facianu com incendiu mare muntagne suffiavanu alitu profumatu natura dicia addiu fiore vistu nasce battellu sfilo quadru maravigliosu saria detdettu mane fate mare paria oliu annuta ghiovani eranu imbarcati messenu canta canzone sintanu marinari quandi tiranu areta pastori guardendu pecurein pasciali letizia circava pinza avenire addurmenta dulore pettu sonnu calma piaga chiude l occhj sparto matina nimu cantava battellu vista marseglia dame garde staccava luminosa vista rese speranza letizia prighera ardente sguillo labbre vergine miraculosa sete mamma guardate debule datemi curaggiu letizia viaghiatu astuta spiritu prontu rinsigno quattru quattr ottu truvo trennu puzza speciale stazione fatta meschiu fume polvara vultava stomacu trennu fisco parti lelizia messe cantu vagone libru tronca fatiga tomnu ghiunse altra ghiutu dede belli sogni letizia casarella borgu cusgia surelle cantendu belle canne ghiuventu cardaline tranu gabbia appiccata fines cantavanu anchi pude ghiuventu acelli assumiglianu incantesimu rottu arrestu trennu parigi apri l occhj junse angoscia manta povaru rundinella spaisata sapia duva bula uandi surti stazione 9zia salto collu uh culomba quandi vide lacri imosa letizia stupita parigi scimo vostru parigi vaga limbu bale cantu ghinghetta ca vostru parigi sole imbillisce caanna puvarellu pare palazp quandi sole veste raggi palazzu reale pare mortu induv ell ando cielu lb griscie eranu case pudia taglia cul pedi appicicavanu terra facia fredu tagliasoffiu quandi surtia lecca sole scherzu cumpagne letizia dicianu regardez beau soleil printemps edi pensava sole murtignellu andissinu ajacciu cridarianu paradisu letizia cummincia carriera rimpiazza durente maestra malata avianu datu camara mansarde corsica ospitalita puntu onore stragneri bella stanza letizia pusendu annanti lettu guardava mubiglia camara taula ronda scianca pede duie carreghe furnellu littinu farru finestra dava annanti tetti avicinu topi ballavanu letizia pensava avenire ava to pane manu dettu zia stantatu tintu pezzu pane mudista ajacciu avaria suffertu cunzulo ghiunse nuvembre ventu messe suffia seccu acutu trapanava anima piuvia gocciule falavanu pianu pianu fince aghi matina quandu letizia alzo apri finestra maravigliata spetaculu l occhj case arburi terra eranu cuparti neve gran silenziu regnava aria sintianu sbattula yale corbi fiore aiaccinu vistu tanta neve ghiornu casco piazza diamante unstratu finu vele veramente bella bianca piattava scorni case facia cuntorni dolci jelu appic cava dentele strane bordu tetti fiori nali sole ponu mica vive codru cattivu invernu pisava annanti spalle letizia mantellu jacciu culori freschi ghiunsenu palidi annoiu accusava cantu labbre strinte soli l occhj lucianu fiama interna ardente misura suffrenza ingrandava letizia tussava cuminciamentu nuvembre casco malata notte frebba ea maltina pobbe mica alza anda diretrice junse vedela nicnte lidissi pocu catarru frebba cascava mica dutiore chiamatu dopu avella oscultata interrugata disse rundinella abituata sole vinuta scatuliscia neve riturnate vostru nidu sole fiori corsica guarisciaranu prestu ca midicamenti fremitu piace passo l occhj letizia guardate disse uttore diretrice ca sente parla guarita mita edi fatti tinta zitella suffria luntanu famiglia isula ca altre cose scrisse mamma clima nordu andava mica pocu ammalaia risposta mica aspitta ghiunse dispacciu beni subitu jornu ghiornu binadettu paria acelli cantissinu cuore baulu prestu rontu p k ghiunse ajacciu jornu natale quandi battellu intro portu alba campane domu messenu suna allegramente mamma lelizia annant calata ringrazio signore cuore avelli resu figliola
