	Ark	Date	Year	Issue	Identifier
0	bpt6k1330952j	1930-06-01	11	402	https://gallica.bnf.fr/ark:/12148/bpt6k1330952j
1	bpt6k1330806z	1925-07-26	6	213	https://gallica.bnf.fr/ark:/12148/bpt6k1330806z
2	bpt6k1330890w	1928-12-15	9	338	https://gallica.bnf.fr/ark:/12148/bpt6k1330890w
3	bpt6k1330798v	1925-05-31	6	205	https://gallica.bnf.fr/ark:/12148/bpt6k1330798v
4	bpt6k1330808s	1925-08-16	6	215	https://gallica.bnf.fr/ark:/12148/bpt6k1330808s
5	bpt6k1330986b	1926-04-11	7	248	https://gallica.bnf.fr/ark:/12148/bpt6k1330986b
6	bpt6k1330823g	1925-11-29	6	230	https://gallica.bnf.fr/ark:/12148/bpt6k1330823g
7	bpt6k13307805	1925-01-18	6	186	https://gallica.bnf.fr/ark:/12148/bpt6k13307805
8	bpt6k13307857	1925-02-22	6	192	https://gallica.bnf.fr/ark:/12148/bpt6k13307857
9	bpt6k1330879v	1928-08-01	9	327	https://gallica.bnf.fr/ark:/12148/bpt6k1330879v
10	bpt6k1331008b	1926-11-10	7	270	https://gallica.bnf.fr/ark:/12148/bpt6k1331008b
11	bpt6k1330963b	1930-10-05	11	413	https://gallica.bnf.fr/ark:/12148/bpt6k1330963b
12	bpt6k1330833v	1927-02-20	8	280	https://gallica.bnf.fr/ark:/12148/bpt6k1330833v
13	bpt6k13308541	1927-11-01	8	301	https://gallica.bnf.fr/ark:/12148/bpt6k13308541
14	bpt6k13308400	1927-05-10	8	287	https://gallica.bnf.fr/ark:/12148/bpt6k13308400
15	bpt6k1330849q	1927-09-01	8	296	https://gallica.bnf.fr/ark:/12148/bpt6k1330849q
16	bpt6k1330883r	1928-10-01	9	331	https://gallica.bnf.fr/ark:/12148/bpt6k1330883r
17	bpt6k1330784t	1925-02-15	6	191	https://gallica.bnf.fr/ark:/12148/bpt6k1330784t
18	bpt6k1330874s	1928-06-01	9	322	https://gallica.bnf.fr/ark:/12148/bpt6k1330874s
19	bpt6k1330978s	1926-02-14	7	240	https://gallica.bnf.fr/ark:/12148/bpt6k1330978s
20	bpt6k1330923t	1929-10-20	10	372	https://gallica.bnf.fr/ark:/12148/bpt6k1330923t
21	bpt6k13310127	1926-12-20	7	274	https://gallica.bnf.fr/ark:/12148/bpt6k13310127
22	bpt6k13308029	1925-06-28	6	209	https://gallica.bnf.fr/ark:/12148/bpt6k13308029
23	bpt6k1330830m	1927-01-20	8	277	https://gallica.bnf.fr/ark:/12148/bpt6k1330830m
24	bpt6k13309262	1929-11-10	10	375	https://gallica.bnf.fr/ark:/12148/bpt6k13309262
25	bpt6k13489277	1925-12-20	6	233	https://gallica.bnf.fr/ark:/12148/bpt6k13489277
26	bpt6k13308133	1925-09-20	6	220	https://gallica.bnf.fr/ark:/12148/bpt6k13308133
27	bpt6k1330976z	1926-01-31	7	238	https://gallica.bnf.fr/ark:/12148/bpt6k1330976z
28	bpt6k13307783	1925-01-04	6	184	https://gallica.bnf.fr/ark:/12148/bpt6k13307783
29	bpt6k13309492	1930-05-11	11	399	https://gallica.bnf.fr/ark:/12148/bpt6k13309492
30	bpt6k1330795m	1925-05-10	6	202	https://gallica.bnf.fr/ark:/12148/bpt6k1330795m
31	bpt6k1330996q	1926-06-27	7	259	https://gallica.bnf.fr/ark:/12148/bpt6k1330996q
32	bpt6k13309247	1929-10-27	10	373	https://gallica.bnf.fr/ark:/12148/bpt6k13309247
33	bpt6k13308704	1928-04-20	9	318	https://gallica.bnf.fr/ark:/12148/bpt6k13308704
34	bpt6k1330788g	1925-03-15	6	195	https://gallica.bnf.fr/ark:/12148/bpt6k1330788g
35	bpt6k1330842t	1927-05-31	8	289	https://gallica.bnf.fr/ark:/12148/bpt6k1330842t
36	bpt6k1330779h	1925-01-11	6	185	https://gallica.bnf.fr/ark:/12148/bpt6k1330779h
37	bpt6k1331011t	1926-12-10	7	273	https://gallica.bnf.fr/ark:/12148/bpt6k1331011t
38	bpt6k13307820	1925-02-01	6	188	https://gallica.bnf.fr/ark:/12148/bpt6k13307820
39	bpt6k1330980v	1926-02-28	7	242	https://gallica.bnf.fr/ark:/12148/bpt6k1330980v
40	bpt6k13307961	1925-05-17	6	203	https://gallica.bnf.fr/ark:/12148/bpt6k13307961
41	bpt6k13309818	1926-03-07	7	243	https://gallica.bnf.fr/ark:/12148/bpt6k13309818
42	bpt6k13308934	1929-01-27	10	342	https://gallica.bnf.fr/ark:/12148/bpt6k13308934
43	bpt6k13309655	1930-10-19	11	415	https://gallica.bnf.fr/ark:/12148/bpt6k13309655
44	bpt6k1330815x	1925-10-04	6	222	https://gallica.bnf.fr/ark:/12148/bpt6k1330815x
45	bpt6k1330968d	1930-11-16	11	418	https://gallica.bnf.fr/ark:/12148/bpt6k1330968d
46	bpt6k13309017	1929-03-24	10	350	https://gallica.bnf.fr/ark:/12148/bpt6k13309017
47	bpt6k1330781k	1925-01-25	6	187	https://gallica.bnf.fr/ark:/12148/bpt6k1330781k
48	bpt6k13308118	1925-09-06	6	218	https://gallica.bnf.fr/ark:/12148/bpt6k13308118
49	bpt6k1330895z	1929-02-10	10	344	https://gallica.bnf.fr/ark:/12148/bpt6k1330895z
50	bpt6k1330920k	1929-10-01	10	369	https://gallica.bnf.fr/ark:/12148/bpt6k1330920k
51	bpt6k13309425	1930-03-23	11	392	https://gallica.bnf.fr/ark:/12148/bpt6k13309425
52	bpt6k1330801w	1925-06-21	6	208	https://gallica.bnf.fr/ark:/12148/bpt6k1330801w
53	bpt6k1330907q	1929-05-05	10	356	https://gallica.bnf.fr/ark:/12148/bpt6k1330907q
54	bpt6k1330828j	1926-01-10	7	235	https://gallica.bnf.fr/ark:/12148/bpt6k1330828j
55	bpt6k1330841d	1927-05-20	8	288	https://gallica.bnf.fr/ark:/12148/bpt6k1330841d
56	bpt6k13308630	1928-02-10	9	311	https://gallica.bnf.fr/ark:/12148/bpt6k13308630
57	bpt6k1330987r	1926-04-18	7	249	https://gallica.bnf.fr/ark:/12148/bpt6k1330987r
58	bpt6k1330899m	1929-03-10	10	348	https://gallica.bnf.fr/ark:/12148/bpt6k1330899m
59	bpt6k13309121	1929-06-16	10	361	https://gallica.bnf.fr/ark:/12148/bpt6k13309121
60	bpt6k1330814h	1925-09-27	6	221	https://gallica.bnf.fr/ark:/12148/bpt6k1330814h
61	bpt6k13308593	1927-12-20	8	306	https://gallica.bnf.fr/ark:/12148/bpt6k13308593
62	bpt6k1330824w	1925-12-06	6	231	https://gallica.bnf.fr/ark:/12148/bpt6k1330824w
63	bpt6k1330964r	1930-10-12	11	414	https://gallica.bnf.fr/ark:/12148/bpt6k1330964r
64	bpt6k1330930z	1929-12-08	10	379	https://gallica.bnf.fr/ark:/12148/bpt6k1330930z
65	bpt6k1330984h	1926-03-28	7	246	https://gallica.bnf.fr/ark:/12148/bpt6k1330984h
66	bpt6k1330805j	1925-07-19	6	212	https://gallica.bnf.fr/ark:/12148/bpt6k1330805j
67	bpt6k1330812p	1925-09-13	6	219	https://gallica.bnf.fr/ark:/12148/bpt6k1330812p
68	bpt6k13310053	1926-10-12	7	267	https://gallica.bnf.fr/ark:/12148/bpt6k13310053
69	bpt6k1330786n	1925-03-01	6	193	https://gallica.bnf.fr/ark:/12148/bpt6k1330786n
70	bpt6k1330876m	1928-06-20	9	324	https://gallica.bnf.fr/ark:/12148/bpt6k1330876m
71	bpt6k13307998	1925-06-07	6	206	https://gallica.bnf.fr/ark:/12148/bpt6k13307998
72	bpt6k1330853m	1927-10-20	8	300	https://gallica.bnf.fr/ark:/12148/bpt6k1330853m
73	bpt6k13307872	1925-03-08	6	194	https://gallica.bnf.fr/ark:/12148/bpt6k13307872
74	bpt6k1330800g	1925-06-14	6	207	https://gallica.bnf.fr/ark:/12148/bpt6k1330800g
75	bpt6k1330943k	1930-03-30	11	393	https://gallica.bnf.fr/ark:/12148/bpt6k1330943k
76	bpt6k1330790j	1925-03-29	6	197	https://gallica.bnf.fr/ark:/12148/bpt6k1330790j
77	bpt6k1330999z	1926-07-18	7	261	https://gallica.bnf.fr/ark:/12148/bpt6k1330999z
78	bpt6k1330835p	1927-03-20	8	282	https://gallica.bnf.fr/ark:/12148/bpt6k1330835p
79	bpt6k1330934m	1930-01-26	11	384	https://gallica.bnf.fr/ark:/12148/bpt6k1330934m
80	bpt6k1330957m	1930-07-06	11	407	https://gallica.bnf.fr/ark:/12148/bpt6k1330957m
81	bpt6k13309922	1926-05-23	7	254	https://gallica.bnf.fr/ark:/12148/bpt6k13309922
82	bpt6k1330862k	1928-02-01	9	310	https://gallica.bnf.fr/ark:/12148/bpt6k1330862k
83	bpt6k13309440	1930-04-06	11	394	https://gallica.bnf.fr/ark:/12148/bpt6k13309440
84	bpt6k13308615	1928-01-20	9	309	https://gallica.bnf.fr/ark:/12148/bpt6k13308615
85	bpt6k1330810v	1925-08-30	6	217	https://gallica.bnf.fr/ark:/12148/bpt6k1330810v
86	bpt6k13307946	1925-05-03	6	201	https://gallica.bnf.fr/ark:/12148/bpt6k13307946
87	bpt6k13309069	1929-04-28	10	355	https://gallica.bnf.fr/ark:/12148/bpt6k13309069
88	bpt6k13307768	1924-12-21	5	182	https://gallica.bnf.fr/ark:/12148/bpt6k13307768
89	bpt6k1330832f	1927-02-10	8	279	https://gallica.bnf.fr/ark:/12148/bpt6k1330832f
