	Texts	Auteurs	Type	Position	Arks
401	   rivideremu marignana  perche sara  la me  dea  chi oglie ti ne stai trisle   alma di le auime mea   cusi  mai ti aghju vista   perche sara la me  amala chi hai fronte penserosa  chi stai capi calata  cu la bocca silenziosa   qualessa sara  o cara    o fiore di lu me  core   la to  pena tunt amara   qualessu  lu to  dulore    sempre dipiu soffre ha fatiu  o caru bellu paone   u dulor  tinutu piattu chi nunn ha cunsulazione   hai alzatu la testa   si alza lu to  diiu  o bella  si avanza  poi  si arresta  ne un quadru di cursichella   ah  e quellu u to  dulore quelle e la 1o  nustalgia   soffre tantu ju to  core peusend a  terra natia   a to  pena la cumprendu   u to  du or  lu capiscu   cume te  or so pienghiendu  a uto rimpiantu mi uniscu   o brunetta muntagnola chi aghiu sempre a lu me  latu   mai tu nun sarei sola  a pienghie u paese amatu   suveute anch eiu lu piengu lu nostru bel cirnu fieru  quante lu teni  lu tengu di amor tenace e sinceru   dnra e la luntanaza   ma cosa pudemnia  si ell unn e ave speranza chi nun pudera dura    asciuvati li to  pienti  piglia u pocu di curaggiu  chi u to core risenti  di speranza u primu raggiu   presto venera la jornu  quella ora tant aspettata chi saremu di ritornu  in corsica tant  amala    quellu mare cusi bellu  chi lu nostru sole innora  annant  un vecchiu battellu u trafrancheremu ancora   di ajacciu ti belli monti   chi sparisce vistu avemu  prestu  prestu  a li orizzonti  spunta torna i videremu   poi  dopu  muntagnendu  di alegria cantaremu   e sara quasi pienghiendu chi noi ritruvaremu  quellu nostru marignana di  corsica lu giuiellu   da la muntagna a la piana  u paese lu piu bellu   affacca fra la verdura videremu leso  coppe   lu profume di le scope riempiera la aria pura   a fiancu dila muntagna si alzera lu campanilu    duminendu la campagna  coll a lu assaltu di u celu   e sottu lu sole di oru   cun un alegria sana   noi cantaremu in coru   marignana   marignana    tornanu li to  figlioli  chi ti avianu jasriatu  cume i belli russignoli tornanu a lu nidu amatu   un ghiornu  scuppali semu   mu per  ssa terra slranicra  pensendu a te  avemu pientu suvente la sera   soltu li to  tetti amali  iniorn a li lo  ziglioni   so morti cume so nati li nostri babbi e babboni   cum elli vulemu fa   noi chi ti emu lasciatu   e turnemu a rispira   la aria chi  banu rispiratu   ma iniantu  o catalina  fiore di a me  giuventu   la me  cumpagna bellina  di grazia  nun pienghie piu    pensa a u paese natiu  prega per ellu in ghjnocchi  ma per le amore di diu  asciuva li to  bell  occhj    ss	   M. Alessandri di Chidazzu  	   poe  	   7  	bpt6k13309247
402	   addiu    luntanu di essa pueta  solamente penserosu   ma di la musa diletta e u so sempre amurosu   e di tantu in tantu cercu quelle amore caldu e frescu   rimaritammi  un ci pensu  aghiu persu la speranza  persu dino lu bonu sensu  tutt in me e decadenza  aliora  pe  stu mutivu  lasciu u sonu e lu gattivu   e purtantu  lu me  core era guasi cumprumissu  curtizendu un bellu fiore  fiore chi era ghia prumissu ad un ghiovanu eccellente  riccu di amore ugualmente   e u  povaru di amore   solu riccu di amarezza     e purtantu  lu me  core ama tantu la carezza   la carezza rigalata chi risana la malata   malalu di veru amore nun mi trovu guasi mai  ma cio chi mi face onore e la pena senza guai   e quand eiu soffru un pocu  mi allunianu da lu focu   u rimorsu di u passatu e sparitu per la annata   nun so mai statu ingratu inversu la prim amala   ma quella chi amava avale mi ha tagliatu le duie ale   allora  per me e finitu lu penseru di le amore  abbandongu lu partilu   la dicu senzu russore   addin   addiu tuttu   le amore e u lu so  fruttu i  ss	   A. F. Franchi  	   poe  	   8  	bpt6k13309247
403	   rabaccia  u chere chere  a cuscenza corsa e a lu abbottu  ognunu si traveste da paciaghiu carcu a bartule  oramai  pe u torna contu  u cherechere supera industria ed agricultura      e butteghe di stu novu cummerciu e piu rughiule di pratiche so quelle chi ellu tene u sgio guvernu     i  questu  furdanu quante un ghiude u  si e abbistu chi a dimustrassi largu in de noi  si impia e stacchein altro  una baiucaccia tirataci a u ravisu li vultava im borsa cambiata in un cinquinu tondu e lisciu        mancia   li affari un fiatani chi u primugenitu di mariannopa un perde tempu per patamacchie   u tc mu    e ghi vende po  su ciarlatanu  ps mei   ach un si ne accorge e natu cegu e cu un stuppinu in le mare po   ci      su bancarotta spacchia tituli  mandatelli frisgetti e chi ne senti   ci   i    resuli visita  cu pala  penna o sciabula in manu si sorte da iso magazzini         pero ci vole a ricunosce chi si ellu vende be sa cumpra ancu megliu  si omu si incrocchia espicchiette  a prova e prestu fatta chi u scopu principale di u signurone e  piuttostu  lu acquistu ca a vendita         anime e corpi  eccu ciocch ellu compra fendu cuncurtenza a satanassu chi ua piglio mai ca spirti da empie e socaldaghie         ste mefce di un genere novu so  cume le alime e  esciusivita corse  di  sti nostri   prudotti la annata e sempre bona  i prez4 sempre bassi  rie    di le anime  messe  incerta falamoghia  si ne tace toscu da allupiacci  pe urestu i macelli ul mancanu ne a u maroccu ne in siria ne in  gni locu     e sehi di     ni   8   e schiere di i camalli incalati di piuvede ad ogni richiesta  a chi un le cunosce e statu toccu da u guarmazzu di irataghne  quinci  cc fasi polli di i puliticanci schi    merrachioli e senaturoni  tale a pbrisgiulati si nafantati    ndi e squadre di a piu paventosa demagogia  stitituma i duttori es pretenzione   deri zerofote e ziu quais  piu gie cu messer pedantini nsticchitu ca u sgio gnerra   din   per malizia  chi per vi  chi per ignoccaria  leia   impastoghia  pugne o avvelena  ci e stregoni e mazzeri  a buggia lu ingannu e u quattrinu so le arme preferite di sta nfernale milizia pronta a conde e dite in tutt i bruttezi   e quindi u risultatu appare degnu di u padrone e degnu di i servitori  u cadramu fala a fiaschi in le cuscenze i ventri si spellanu chi ognunu sguilla cume e lumaghe  u drittu e tortu e u  tortu e rettu cume una piscatoghia  a camorra face culla e so pampane folte chi e so radiche succhianu tanta rubaccia  a maffia fiurisce e spampigliuleghia tandu chi cappelli  berette e palme di manu cherenu senza stancassi mai       a piena di a brinnata e univaghiume di i bassi favori un attancianu mai per quelli sacchittaghj fiacchi  sconsuli e sfiatati    i i i  sara dunque vera chi u varme si ha rosu u fruttu di un ramu cusi sodu   un ci sara sciolfaru da pude tumba su brugu virdognu  un risplendera piu quellu sole ardente chi scugnurava ogni maleficu insettu      lu alberu corsu  a fiori guizzi  a baghe imputridite  a fronde macagnate sara destinas tuadallivantassi e a more privu di succhiu     lu alberu schiettu chi caccio sti sette furconi  gindice sambucucciu  vincintellu  gian paulu  rinucciu  paoli e napulione un cacciara piu ca talle tarulate    evettel hanu da casca cum  elli cascanu icapelli da efronte chi spinciuleghianu   noi altri un pudemu crede a simile angunia scumittemu   a mille contru unu   pe u rinviguri di a pianta cirnese   e cio accadera quandiu trettu muntagnolu avara spalluzzatu brughi  lumbrighi e calafroni   u verdiume e u rifiuri di u vecchiu jambone so piu ca sicuri   per esse netti e senza simbuli dicemu chi a nostra razza riacquistera a so dignita quandi a duttrina cursista avara apertu li occhj  discitatu e mente e chi tutti capisciaramu a bassezza di u chere chere el ignominia di a manu fesa     ss	   P. di C.  	   art  	   1  	bpt6k13308311
404	   u judiziu finale  i stranieri judicati da i li ultrafrancesi  ah  ah  monsieur est persan  e un bi chiamate durand   pevaru tintacciu   un balite nulla  ma nulla   site degnu di forca  avete messu a vostra mamma ind u fornu  un credite in cristu  campate di latruciniu  puzzate cum i corbi  site un mostru  un fenomenu  vous etes le meteque     eccu cio chi li ultrafrancesi penseranu di li aitri    ne vulete a prova  leghjte i libri  i rumanzi  e fole e i giurnali chi si stampanu in parigi    f italianu e ghielosu  vendicativu e traditore  parla assai e manghia pocu  si nutrisce di maccaroni e si  scalda a u sole cum e lucertule    e gattivu suldatu e  scappa quand ellu vede spunta i numici     porta una barbona negra  un cappellu pinzutu  e ciavatte ligate di funicella  a paghiola nant u spinu  u crucifissu a u collu e u pugnale in stacca e ha un bruttu difettacciu   si crede padrone in casa soia     le inglese un cunosce che u soldu  dice yes invece di owi    eipocritu  senza core  falzu e buggiardu  e bonu marinaru ma suldatu di   pacuttiglia      ha i denti longhi  a pipa in bocca a vestitura   a carreaux   a so moglie e brutta magra e beste male    sta sempre ind a nebbia e manghia assai  pomi di terra   u spagnolu e bighinu e ladru  rompe u dighjunu ci una sigaretta  face culazio ci una cipolla  e cena ci un serinatu    porta spadriglie  una ghitarra  una cinta rossa  un bolero  e gridendu  caramba    si diverte cu i tori    a spagnola ha li occhj in amandula  negri cume lu infernu  porta una  banderetta  una  mantiglia  una gunnella di mille culori  balla sempre   olle   olle    e si ne sta tutt a notte a u balcone aspettendu u so amante  ci 3    u russu porta una barba assai longa e piena di pidocchj  una barretta pilosa e una pelliccia di orsu   sta ind a neve  si imbriaga  un paga i so debiti e ghie sempre in ritardu di 14 jorni  ne   u turcu  mamma mia un ne parlemu1  u turcu un crede ne in cristu ne in poincare  si scalza in chiesa  bende pastiglie  aranci e cacahuetes e si marita  quaranta  volte ind un annu  b   u grecu e  adru cume un    grecu  face nece di occupassi di uva secca e bi spoglia in quattru e quattr ottu     ghiuchendu a carte     u svizzeru ha dui mistieri  prufessore in casa soia e dumesticu in altro    a pre benissimu e porte paila tutt e lingue ma un lu capisce mancu un ghienuvese   a ct  u tedescu e biundacciu cu  fronte bassu e a testa quadra  e ipocritu  falzu  bantadore e bluffeur 1     une ne e micca artista  fuma ind e pipe in purcellana  beie assai birra e thanghia assai choucroute  a dorina iedesca e grassaccia e pivarosa  cu i petti chi li falanu nant u corpu ha e gambe storte  li occhiali di oru e treccie bionde e ghie assai currofta  si diverte in giuventu cu li ufficiali eppoi si marita onestamente cu so cuginu      vertueuse allemagne   1 tedeschi so tutti duttori e ufficiali in casa soja  spioni e dumesticiin francia  so abbastanza boni suldati  ma tremanu cume foglie davant a e baiunette francesi      u belgu e contrabandieru e mistificatore    alleva i cani lupi e dice sempre   sais 1  o   savez vdus     le olandese fuma tre chilo di ta baccu u jornu  manghia ind i catini novi  balla cii i zocculi in pede e passa u so tempu ne e chermesses    al leva porchi e bitelli e face gira i mulini     e li is  lu americanu sta ind e case di novarita piani e si imbriaga a lu appiaitu    ha i denti in oru  campa di speculazione  e banchieru o purcaru  bende petroliu  carne salata acciaghive biglietti di banca si ha messu in chiocts di fa paga i  francesi  grida sempre   hip  hip  hurra ts   si marita a sera e face divorziu u lindumane  passa u so tempu a biagliia in trenu e in battellu     i negri so troppu negri   i gialli troppu gialli   eccu cume sarete judicati se boi avete a disgrazia di un chiamabbi ne durand ne dupont       a prupositu  un dimentichemu quali simu     i corsi so vindicativi e selvatichi  pieni di orgogliu e di miseria e sanu manighia u fucile megliu chi a zappa  so tutti pruprietarikin casa soia e duganeri in marseglia      campaziu ind a macchia  hanu tutti u fucile appicollu e u stilettu a fiancu  facenu i banditi tombanu i giandarmi  portanu a barretta misgia  u pilone e a carchera  hanu nomi italiani chi finiscenu in je in o parlanu un  patois  ne arabu ne francese  e pas sanu a so tempu a dorme sothi i castagni  i   dicerete  ma si sa jente e cusi severa versu noi altri tutti  e segnu chi ella e senza difetti    un mumentu o zia catali   i francesi so troppu mudesti per vantassi e cum elli so i primi di u mondu  i primi perche a damu ghiuliu cesare  cristu  dante alighieri  marcu polu  cristofaru culombu  michelanghiulu galile u  mazarinu  napuleone e bismarck eranu francesi   e aliofa eo chi so statu nov anni in parigi  bi ne feraghiu u ritrattu  e a  i francesi banu inventatu  tuttu cio che noi vedimu cun li occhj  e se noi povari stranieri  simu sempre vivi  e grazia ad elli   so i primi suldati di uimondu e unn hanu mai per su una battaglia eccu perche a gallia un fu mai rumana ed eccu perche i tedeschi un ebbenu mai le onore di entra in parigi  ognunu sa che un francese bale dui negri  tre gialli  cinque tedeschi  un mezzi corsu e due centu italiani          i francesi so i piu bell omi di u mondu e ghie bera  o zia catali   unn aghiu mai vistu in francia ne un guerciu ne in sciancu  so tutti intelligenti  4   une  so tutti ricchi  e ghie bera  o zia catali   unn haghiu mai intesu un omu chere a limosina iri francese  so tutti amabili e generosi  e se boi andate in parigi bi aprenu subitu eporte  bi danu da manghia bi vestenu bi calzanu e bi carcanu di marenghini   i francesi un morenu piu dipochi poincare ha dicchiaratu   la france immortelle a eccu perche i cimiterii di parigi so fatti per 1 eb   brei  i turchi e i spagnoli   un beru paradisu  un ci e ne giandarmi  ne tribunali  ne priggio  ne ladri  ne scrucconi  ne ciarlatani  ne povari  ne malati    un beru paradisu  i   ma allora perche noi altri corsi simu cusi disgraziati  e perche murimu cume tanti gnocari      perche un simu francesi    o zia catali    3  ss	   Antone Frassetto  	   art  	   2  	bpt6k13308311
405	   lettera da u san carlu  aghiacciu  u 25 jnnagbiu 4927   caru size   comu ti hai fattu stu viaghiu   ci era un marosu     aghiu suitatu  cu li occhj  u   numidia  sin a madon di u carminu    com ellu saltava  hai fattu be di magna assai avanti di parta  cusi al menu avare pudutu lampa qualcosa      a pripositu   ti se lacatu annant a u lettu u fangottu cu i canistro chi favii da da a to surella  com elli erini dighia secchi mi ni magnu unu tutt i jorni iu drent a u caffe     caffe ni possu magna sei volti u jornu inveci di quattru  e falatu di setti soldi u chilo   u zuccaru dino e falatu  e dino u petroliu  unn e ca u pani chi dopu di essa falatu di tre soldi e cullatu di cinqui   zia stuppina mi ha dittu chi a causa ni saria u virificatore di i pesi e misuri chi un vo piu chi a libra fali     allora po  comu li hai truvata sta bella marseglia  a   bonne mere  e sempri cula sopra induve no semi andati quilla matina incu zia catalina  aghiuricivutu una lettara di angella chi mi dici chi u so ultimu e malatu   mi scrivi cusi    mon poore  peti fenfant il travaille des dents     vai a vedilu si tu ti hai u tempu  madonna  chi ellu un abbj avutu qualchi indighjstioni cu tanta rubaccia chi elli vendini in marseglia     ti la devi campa tu  sogu sicura o pellissie   chi tu mi ni devi fa a pedi e a cavallu cu tutti quilli dunnaccie quilli tre coco di u  palais de cristal  e di   l alcazar    sopra a me   ti lu aghiu dighia ditta   unn ave pur paura chi so bella tran   quilla  oghj semi sabatu   e be  dipoi marti un sogu andata ca dui volti a u cinema         mica sola chi ti un crerghi  un ci e dubitu  chi eiu tengu troppu a  me riputazioni    sogu andata cu me cucinu pitrarellu  quillu chi e ghiuntu da u matalo  aio   u cunosci be  quil   ju  donni  ne ha eppo ne ha e a me mi lascia bella tranquilla  ma surtendu da u cinema ci era una bughiura    je ne te dis que cal   si dici chi fani u gaz cu i fasgioli secchi e par quista chi puzza di piu ma un schiarisci micca be come quillu chi si faci inci carboni   ava po  ti la dicu com elli mi li hani ditta    oh  sii com ella sii  inuttati in aghiacciu so sempri neri  scuri  e sentini di aghiata       scrivimi suventi  tenimi a u currenti di cos etu fai e avirtiscimi quand e tu avare truvatu una piazza   lu addrizzu di niculo e  36 place  des moulins  un ti ni scurda micca chi ti invitara a magna di tantu in tantu     ti abbracciu cume tu sai     ato  dialettu aiaccinu  ss	   Ghiacuminetta  	   let  	   3  	bpt6k13308311
406	   amor maternu  senti o figlio   si tu pudia capisce  cio chi mammata pensa e per te face    ma si chiucu  e  per cio chi ti po piace  cumandi sempre chi sai chi obbedisce   alo  fa unsforza cu  to ciarbellucciu    e cerca di capi cio chi saria so suspiru vicin a u to lettucciu quandu ti face di le ave maria   e ln so core intiera  chi ella mette th su soffiu di amor  e unica brama   a  vergine bonta ti sottumette   un ghiornu  su core chi fantu ti ama  viderei smarri si diu permette    tandu capiscere  ciocch e una mamma   ss	   U Sampetracciu  	   poe  	   4  	bpt6k13308311
407	   a quellu ciaffu  un soffiu di puesia bene da la muqrareccia   tutta impressa di armunia    cappiat ha la bionda treccia tutta tessuta a fil di oru   sa musa chi tantu adoru    canta  cume un russignolu   a notte indu le junchefe  impress e di un certu dolu chi lescia scopre fa sete di le onore  la fierta   e la corsa liberta   canta puru o musa corsa    e sia cerfe sicura   bench ella sia r a fossa   present  e a mascia figura di lu bapu cunduttore   chi salvo lu patry onore    ogni chiassu  ogni mucale   la pieghia cu la muntagna ci face scopre lu male    e di la francia si lagna    pensa  o ciaffu  a lu destinu  si ellu parte un pulverinu    e cennere di i babboni tenenu lu focu vivu   pe scaccianne di li anghioni tuttu cio chi e di nucivu     e mantenenu a speranza di la nostra indipendenza   o ciaffu  pe a nostra fede  apostuli ci feremu   ma  si tu ci voli crede   qui mi piglianu per scemu   per peur di un canta in v inu finiscu e ti stringu a manu   ss	   L'Orsu d'Orezza  	   poe  	   6  	bpt6k13308311
408	   a piu bella di e stelle  era pallida e bionda  pallida cume un  chiar di luna  bionda cume e spighe di u granu maturu  5  u so  risu pallida cumed ella facia pensa a un ciutta di sole  la amava cusi  tantu era bella  e averebbe passatu a mio vita in adorazione per ella   quande un la avia in prisenza  a vita era per me una scena  di teatru cu  so tendone falatu  un vidia nulla  tuftu mi era indifferente  ma  tempii prisentatasi davanti a mio vista sempre in cerca di ella  u tendone si alzava  mossu da una manu invisibile  mi si paria tandu di discitainmi di un gattivu  sognu per vive in una  dulcissima realta  sentia canta pacelli  vedia luce u sole e capia la ineffabilearmunia  di a natura   ct  e e     una sera di estate  pusavamu sopra un bancu di u so giardinu  mi sembrava piu pallida sottu a luna complice di u nostru amore    appughiata contru a mio spalla  lasciava parte da tutt a so persona un discretu  profume chi mi cullava a u cerbellu  imbriaghendumi  eiu  tandu  imbucinava a u mio collu i so capelli di oru  mursichenduli amurosametite  u silenziu di a notte scendia sopra a noi cume una carezza    dimenticavamu tuttu per un pensa che a u nostru amore    eramu soli e aviamu sedeci anni  a gattivezza ci era incunisciuta e a carezza amara di u ventu di i guai unn avia mai inturbiditu i nostri cori  cuntemplavamu e stelle  sentendune u misteriu e ci paria chi u signore avissi fattu per noi stu celucusi gratide chi vidia u nostru amore  i  una stella si stacco da u mantellu di a notte suminendu in la aria  pura calisgine bionde cume i capelli di a mio cara    e a mio surellal  mi disse ella guardendumi  dh   x  un mese dopu  pallida e bionda  piu bella ind a morte  si ne cuilava versu altri loghi piu dolci  in quella immensita sfrana chi no un capimu micca  versu estelle bionde  e so surelle    e per quessa chi quandu vegu casca una stella mi sentu annebbia li occhj da e lacrime      ss	   Dumenicu Marfisi  	   his  	   7  	bpt6k13308311
409	   funtane di venacu  dopu dodeci mesi passati in olivese  aghiu fattu un apparizione in venacu  u mio caru paese nativu    un cennu di i mio padroni mi ayvisava di rendemi in bastia  ne aghju prufittatu per arreghiemi 48 ore  scusa di vedei mio parenti  grazie a diu abbastanzamente numerosi  e in secondu logu per ripusammi un pocu a tappa olivese bastia in un solu jornu dumanda i pulmoni piu forti che i mei   a matina  tempu alzatumi  a prima persona che aghiu vistu e stata zia lucrezia  inoglia di carlu filice pindegulu       allora  o zia lucre  cume vecchia salute      e a un ci e male deh  tu  o lucia   sempre sanu   e to socera  to cugnata  i to figliulelli     lu aghiu lasciati tuiti be cume salute  o zia lucre ma magri cume soldi  chi bulete fa   dipoi chi u cunsigliu municipale mi ha toltu le allucazione di e famiglie numerose un possu piu fa tanti chichi deh   quindi chi ci e di no vu    i pe lidona di  zia lucrezia ripuni u bidone di acqua chi ella avia in capu  e  a chiacchiara piacenduli      pe u novu  caru lucianu  e becchiu   sai cume me chi a cumuna di venacu haspesu 7 o 8 mila franchi per fa ghiunghie la acqua in mezzu paese  la idea e stata bona e seria bunissima  ma chi voli fa    mi  aghiu cinque o sei litri di acqua in sti bidone  e mi costanu un ora di tempu  quandu so ghiunta afantana ci ne era quattru chi aspittavanu   allora fa u contu   per empie una secchia ci vole un quartu di ora  quattru secchie  quattru quarti di ora  unn e cusi    sa      avete raggio  ma  un ci seria mezzu di crescela sta funtana      cume  o lucia  ti voli ride di me  chi a vegu   dipoi cinqu anni travagli in le canalisazioni e ti addirizzi a me per ste spiegazioni   e  a    a bedeci  o zia lucre  ne parleremu un altra volta    ll    te  a bedecie portati be  lasciami anda a mettea mio pulenda a u focu  perche  si carlu filice junghie e un trova a bomba pronta  mine face una cumedia   a  aghiu dunque lasciatu a zia lucrezia ma fendu pero riflessione a u so dettu u novu e becchiu  infatti e piu che veru  a funtana in quistione si trova a u lugu di venacu in mezzu paese  lu impiazzamentu e statu sceltu per alimenta i cinque sesti di in paisolu   da qui risolta  chi paltru sestu chi ferma dev esse alimentatu da a funtana principale posta in cima di u paese  cusi face chi a ripartizione e stranamente fatta in prupurzione a li abitanti   un sestu di a pupulazione prufitta di i 5 sesti di la acqua e li altri cinque sesti unn hanu che cio chi ferma   a misera sestta parte  e ancu  ci e dunque qualcosa chi un va micca be  e per euriosce stu hic un ci e bisognu di esse diplumatu in canalisazioni        ro    a funtana di mezzu  paese ne pate  falendu candella a candella  e  zitella zitella  si piscia nantu i scarpi cume i vecchj         zia lucrezia avia raggio dicendumi chi u novu era vecchiu   ma si la acqua fala pianu  e jastenie sortenu a bacinate  quale sera chi ridera fultimu      venachesi unn hanu che cos elli dumandavanu   chi ellu campi nerone  ponu fa u so mea culpa e di  chi e causa del suo mal piangi a se stesso   1 pomi e i fasgioli di  u merre di venacu venenu prima che li abitanti diu lugu  chi  si elli hannu a sete  unn hannu che a fala in lavatoghin   amen   ss	   U Venachese  	   his  	   8  	bpt6k13308311
410	   misteri notturni  solu  in la notte chi  dolce e quieta   face rivive una gloria passata     notte bella in la isula abandunata e irista ispirazione pe u pueta         luce la luna culor di una meta  4   pe a strada ne corre jente affannala   sentu in lagnu di un addulurata   chi impriggiona u mio core in una reta      carizzati da u marinu tuscanu   tostu  vegu marchia a passi lenti u babbu cu a figliola pe a manu   dice u vecchiu  cu spirtosa manera  mustrendu i raggi cusi luccichenti  di ona stella  e spera  corsica  spera    ss	   Carlo di e Vallicelle  	   poe  	   9  	bpt6k13308311
